Ngày,"Tên chiến dịch","Tên nhóm quảng cáo","Người tiếp cận","Lượt hiển thị","Số tiền đã chi tiêu (USD)","Người liên hệ qua nhắn tin mới","Lượt bắt đầu cuộc trò chuyện qua tin nhắn","Bình luận về bài viết","Lượt click vào liên kết","Bắt đầu báo cáo","Kết thúc báo cáo"
2024-01-17,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",1213,1439,5.49,,,,1,2022-08-04,2024-01-17
2024-01-17,"ĐTPTDL] - DA - mới nhé","18/10 - DA",2166,2604,11.92,2,2,1,5,2022-08-04,2024-01-17
2024-01-16,"ĐTPTDL] - DA - mới nhé","18/10 - DA",2819,3507,15.21,5,5,1,14,2022-08-04,2024-01-17
2024-01-15,"ĐTPTDL] - DA - mới nhé","18/10 - DA",3339,3972,14.78,1,1,,6,2022-08-04,2024-01-17
2024-01-14,"[ĐTPTDL] - BI Track- 04/01","[ĐTPTDL] BI Track_TGDN",676,787,3.38,,,,1,2022-08-04,2024-01-17
2024-01-14,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",1111,1211,3.65,,,2,2,2022-08-04,2024-01-17
2024-01-14,"[ĐTPTDL] PBI","17/11 - PBI target mới",1594,1743,6.25,,,1,1,2022-08-04,2024-01-17
2024-01-14,"ĐTPTDL] - DA - mới nhé","18/10 - DA",2914,3389,14.54,2,2,,5,2022-08-04,2024-01-17
2024-01-13,"[ĐTPTDL] - BI Track- 04/01","[ĐTPTDL] BI Track_TGDN",1069,1310,5.06,,,,1,2022-08-04,2024-01-17
2024-01-13,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",1885,2108,5.37,1,1,1,5,2022-08-04,2024-01-17
2024-01-13,"[ĐTPTDL] PBI","17/11 - PBI target mới",2328,2720,12.14,,1,1,6,2022-08-04,2024-01-17
2024-01-13,"ĐTPTDL] - DA - mới nhé","18/10 - DA",3822,4504,15.64,3,3,1,17,2022-08-04,2024-01-17
2024-01-12,"[ĐTPTDL] - BI Track- 04/01","[ĐTPTDL] BI Track_TGDN",855,1081,4.75,1,1,,2,2022-08-04,2024-01-17
2024-01-12,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",1833,2063,4.82,1,1,,5,2022-08-04,2024-01-17
2024-01-12,"[ĐTPTDL] PBI","17/11 - PBI target mới",3042,3234,12.2,1,3,,10,2022-08-04,2024-01-17
2024-01-12,"ĐTPTDL] - DA - mới nhé","18/10 - DA",3449,4227,14.77,3,3,,12,2022-08-04,2024-01-17
2024-01-11,"[ĐTPTDL] - BI Track- 04/01","[ĐTPTDL] BI Track_TGDN",768,1005,4.83,,1,,1,2022-08-04,2024-01-17
2024-01-11,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",1806,2100,4.69,1,2,,5,2022-08-04,2024-01-17
2024-01-11,"ĐTPTDL] - DA - mới nhé","18/10 - DA",2912,3456,14.44,1,1,,7,2022-08-04,2024-01-17
2024-01-10,"[ĐTPTDL] - BI Track- 04/01","[ĐTPTDL] BI Track_TGDN",571,716,4.64,,,,3,2022-08-04,2024-01-17
2024-01-10,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",1812,2072,4.79,,,,4,2022-08-04,2024-01-17
2024-01-10,"ĐTPTDL] - DA - mới nhé","18/10 - DA",2951,3625,15.1,3,3,,12,2022-08-04,2024-01-17
2024-01-09,"[ĐTPTDL] - BI Track- 04/01","[ĐTPTDL] BI Track_TGDN",1126,1376,4.62,1,1,,3,2022-08-04,2024-01-17
2024-01-09,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",1954,2224,4.82,,,,7,2022-08-04,2024-01-17
2024-01-09,"ĐTPTDL] - DA - mới nhé","18/10 - DA",3435,4032,14.61,5,5,1,15,2022-08-04,2024-01-17
2024-01-08,"[ĐTPTDL] - BI Track- 04/01","[ĐTPTDL] BI Track_TGDN",668,784,5.27,,,,1,2022-08-04,2024-01-17
2024-01-08,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",1548,1720,4.94,1,1,,6,2022-08-04,2024-01-17
2024-01-08,"ĐTPTDL] - DA - mới nhé","18/10 - DA",3284,3870,14.85,2,3,,11,2022-08-04,2024-01-17
2024-01-07,"[ĐTPTDL] - BI Track- 04/01","[ĐTPTDL] BI Track_TGDN",784,1014,5.8,,,,2,2022-08-04,2024-01-17
2024-01-07,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",2490,2776,9.17,1,2,,8,2022-08-04,2024-01-17
2024-01-07,"ĐTPTDL] - DA - mới nhé","18/10 - DA",3403,4041,18.94,6,6,1,12,2022-08-04,2024-01-17
2024-01-06,"[ĐTPTDL] - BI Track- 04/01","[ĐTPTDL] BI Track_TGDN",887,1157,6.01,1,1,,4,2022-08-04,2024-01-17
2024-01-06,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",4554,5202,12,2,2,2,8,2022-08-04,2024-01-17
2024-01-06,"ĐTPTDL] - DA - mới nhé","18/10 - DA",5565,6736,26.43,,,,12,2022-08-04,2024-01-17
2024-01-05,"[ĐTPTDL] - BI Track- 04/01","[ĐTPTDL] BI Track_TGDN",982,1289,6.16,2,2,,4,2022-08-04,2024-01-17
2024-01-05,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",3934,4613,11.5,2,2,,7,2022-08-04,2024-01-17
2024-01-05,"ĐTPTDL] - DA - mới nhé","18/10 - DA",5164,6424,26.96,5,6,1,21,2022-08-04,2024-01-17
2024-01-04,"[ĐTPTDL] - BI Track- 04/01","[ĐTPTDL] BI Track_TGDN",1107,1395,6.06,,,1,1,2022-08-04,2024-01-17
2024-01-04,"[ĐTPTDL] - IT BA","IT-BA 03/01/2024",578,648,4.27,,,,1,2022-08-04,2024-01-17
2024-01-04,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",4415,5249,11.99,2,2,2,10,2022-08-04,2024-01-17
2024-01-04,"ĐTPTDL] - DA - mới nhé","18/10 - DA",5246,6425,26.75,7,7,1,24,2022-08-04,2024-01-17
2024-01-03,"[ĐTPTDL] - IT BA","IT-BA 03/01/2024",1459,1711,9.31,,,,4,2022-08-04,2024-01-17
2024-01-03,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",3778,4602,11.45,,,2,7,2022-08-04,2024-01-17
2024-01-03,"ĐTPTDL] - DA - mới nhé","18/10 - DA",6884,8569,26.39,4,4,1,22,2022-08-04,2024-01-17
2024-01-02,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",2519,3192,11.97,2,2,,8,2022-08-04,2024-01-17
2024-01-02,"ĐTPTDL] - DA - mới nhé","18/10 - DA",3103,4191,22.06,4,5,,15,2022-08-04,2024-01-17
2024-01-01,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",5132,5154,10.96,1,1,1,5,2022-08-04,2024-01-17
2024-01-01,"[ĐTPTDL] SQL - xin là cho","13/10 - SQL",841,855,2.78,,,,2,2022-08-04,2024-01-17
2024-01-01,"ĐTPTDL] - DA - mới nhé","18/10 - DA",9796,10049,23.47,1,1,,20,2022-08-04,2024-01-17
2023-12-27,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",2,2,0.01,,,,,2022-08-04,2024-01-17
2023-12-27,"ĐTPTDL] - DA - mới nhé","18/10 - DA",2,2,0.01,,,,,2022-08-04,2024-01-17
2023-12-26,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",2055,2493,10.44,5,5,1,6,2022-08-04,2024-01-17
2023-12-26,"[ĐTPTDL] Power BI - vể bờ","11/10 - Power BI",1722,1876,8.62,,,,3,2022-08-04,2024-01-17
2023-12-26,"[ĐTPTDL] SQL - xin là cho","13/10 - SQL",1130,1420,11.73,1,1,1,,2022-08-04,2024-01-17
2023-12-26,"ĐTPTDL] - DA - mới nhé","18/10 - DA",4081,5084,24.8,2,2,,14,2022-08-04,2024-01-17
2023-12-25,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",2044,2526,11.5,2,2,,5,2022-08-04,2024-01-17
2023-12-25,"[ĐTPTDL] Power BI - vể bờ","11/10 - Power BI",2078,2183,7.93,,,,6,2022-08-04,2024-01-17
2023-12-25,"[ĐTPTDL] SQL - xin là cho","13/10 - SQL",723,962,7.65,,,,1,2022-08-04,2024-01-17
2023-12-25,"ĐTPTDL] - DA - mới nhé","18/10 - DA",2788,3466,17.31,1,1,,10,2022-08-04,2024-01-17
2023-12-23,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",,,,1,1,,,2022-08-04,2024-01-17
2023-12-23,"ĐTPTDL] - DA - mới nhé","18/10 - DA",,,,,1,,,2022-08-04,2024-01-17
2023-12-22,"[ĐTPTDL] - BI Track - phân tích kinh doanh","BI Track_PTKD_06/07",1354,1685,10.94,,,,6,2022-08-04,2024-01-17
2023-12-22,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",2787,3191,10.68,3,3,1,6,2022-08-04,2024-01-17
2023-12-22,"[ĐTPTDL] PBI","17/11 - PBI target mới",2776,3042,8.1,,,,5,2022-08-04,2024-01-17
2023-12-22,"ĐTPTDL] - DA - mới nhé","18/10 - DA",5756,6703,22.65,3,3,2,14,2022-08-04,2024-01-17
2023-12-21,"[ĐTPTDL] - BI Track - phân tích kinh doanh","BI Track_PTKD_06/07",1196,1412,12.11,1,1,,4,2022-08-04,2024-01-17
2023-12-21,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",2418,2883,12.33,1,1,,6,2022-08-04,2024-01-17
2023-12-21,"[ĐTPTDL] PBI","17/11 - PBI target mới",2335,2586,7.97,2,2,1,6,2022-08-04,2024-01-17
2023-12-21,"ĐTPTDL] - DA - mới nhé","18/10 - DA",4465,5407,26.93,4,4,,11,2022-08-04,2024-01-17
2023-12-20,"[ĐTPTDL] - BI Track - phân tích kinh doanh","BI Track_PTKD_06/07",1773,2159,12,1,1,,3,2022-08-04,2024-01-17
2023-12-20,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",2387,2941,12.03,4,4,2,8,2022-08-04,2024-01-17
2023-12-20,"[ĐTPTDL] PBI","17/11 - PBI target mới",1068,1203,6.15,1,1,,3,2022-08-04,2024-01-17
2023-12-20,"ĐTPTDL] - DA - mới nhé","18/10 - DA",3696,4807,26.65,3,4,1,13,2022-08-04,2024-01-17
2023-12-19,"[ĐTPTDL] - BI Track - phân tích kinh doanh","BI Track_PTKD_06/07",15,15,0.04,,,,,2022-08-04,2024-01-17
2023-12-19,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",535,540,2.1,,,,2,2022-08-04,2024-01-17
2023-12-19,"[ĐTPTDL] PBI","17/11 - PBI target mới",1399,1404,4.69,1,1,,3,2022-08-04,2024-01-17
2023-12-19,"ĐTPTDL] - DA - mới nhé","18/10 - DA",6013,6276,24.63,1,1,2,11,2022-08-04,2024-01-17
2023-12-15,"[ĐTPTDL] - Python combo","05/05 Python combo",185,197,1.23,,,,,2022-08-04,2024-01-17
2023-12-15,"[ĐTPTDL] - Python combo","22/09 - Python combo",87,90,0.35,,,,,2022-08-04,2024-01-17
2023-12-15,"[ĐTPTDL] PBI","17/11 - PBI target mới",411,446,2.15,,,,1,2022-08-04,2024-01-17
2023-12-15,"ĐTPTDL] - DA - mới nhé","18/10 - DA",1697,1974,9.48,2,2,1,8,2022-08-04,2024-01-17
2023-12-14,"[ĐTPTDL] - Python combo","05/05 Python combo",4862,5818,16.76,2,2,,10,2022-08-04,2024-01-17
2023-12-14,"[ĐTPTDL] - Python combo","22/09 - Python combo",4050,4738,12.11,1,1,,9,2022-08-04,2024-01-17
2023-12-14,"[ĐTPTDL] PBI","17/11 - PBI target mới",3081,3515,14.65,,1,1,6,2022-08-04,2024-01-17
2023-12-14,"ĐTPTDL] - DA - mới nhé","18/10 - DA",4917,5715,23.37,5,5,2,17,2022-08-04,2024-01-17
2023-12-13,"[ĐTPTDL] - BI Track - phân tích kinh doanh","BI Track_PTKD_06/07",49,51,0.23,,,,,2022-08-04,2024-01-17
2023-12-13,"[ĐTPTDL] PBI","17/11 - PBI target mới",67,71,0.27,,,,1,2022-08-04,2024-01-17
2023-12-13,"ĐTPTDL] - DA - mới nhé","18/10 - DA",2015,2074,20.47,,,,4,2022-08-04,2024-01-17
2023-12-12,"[ĐTPTDL] - BI Track - phân tích kinh doanh","BI Track_PTKD_06/07",1088,1419,10.49,,,,1,2022-08-04,2024-01-17
2023-12-12,"[ĐTPTDL] PBI","17/11 - PBI target mới",1707,2080,11.46,2,2,,2,2022-08-04,2024-01-17
2023-12-12,"ĐTPTDL] - DA - mới nhé","18/10 - DA",2849,3538,21.19,7,7,,19,2022-08-04,2024-01-17
2023-12-11,"[ĐTPTDL] - BI Track - phân tích kinh doanh","BI Track_PTKD_06/07",1586,1912,10.26,,1,,1,2022-08-04,2024-01-17
2023-12-11,"[ĐTPTDL] PBI","17/11 - PBI target mới",1706,2076,11.7,2,2,1,3,2022-08-04,2024-01-17
2023-12-11,"ĐTPTDL] - DA - mới nhé","18/10 - DA",3745,4561,21.01,4,4,1,15,2022-08-04,2024-01-17
2023-12-10,"[ĐTPTDL] - BI Track - phân tích kinh doanh","BI Track_PTKD_06/07",1193,1478,7.85,,,,2,2022-08-04,2024-01-17
2023-12-10,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",1806,2133,8.08,,,1,5,2022-08-04,2024-01-17
2023-12-10,"[ĐTPTDL] PBI","17/11 - PBI target mới",2036,2373,12.15,2,2,1,6,2022-08-04,2024-01-17
2023-12-10,"ĐTPTDL] - DA - mới nhé","18/10 - DA",4822,5571,22.17,2,2,,14,2022-08-04,2024-01-17
2023-12-09,"[ĐTPTDL] - BI Track - phân tích kinh doanh","BI Track_PTKD_06/07",1385,1793,9.44,,,,,2022-08-04,2024-01-17
2023-12-09,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",2280,2743,10.49,,,,5,2022-08-04,2024-01-17
2023-12-09,"[ĐTPTDL] PBI","17/11 - PBI target mới",1920,2236,12.67,2,2,1,6,2022-08-04,2024-01-17
2023-12-09,"ĐTPTDL] - DA - mới nhé","18/10 - DA",5422,6504,23.68,3,3,,17,2022-08-04,2024-01-17
2023-12-08,"[ĐTPTDL] - BI Track - phân tích kinh doanh","BI Track_PTKD_06/07",1370,1802,11.06,2,3,,5,2022-08-04,2024-01-17
2023-12-08,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",1940,2401,10.13,,,,4,2022-08-04,2024-01-17
2023-12-08,"[ĐTPTDL] PBI","17/11 - PBI target mới",1619,1896,12.14,4,4,1,5,2022-08-04,2024-01-17
2023-12-08,"ĐTPTDL] - DA - mới nhé","18/10 - DA",4884,5842,22.21,4,4,,15,2022-08-04,2024-01-17
2023-12-07,"[ĐTPTDL] - BI Track - phân tích kinh doanh","BI Track_PTKD_06/07",1607,2095,10.02,2,2,,4,2022-08-04,2024-01-17
2023-12-07,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",1781,2245,10.1,,,,8,2022-08-04,2024-01-17
2023-12-07,"[ĐTPTDL] PBI","17/11 - PBI target mới",1734,2053,11.87,1,1,1,4,2022-08-04,2024-01-17
2023-12-07,"ĐTPTDL] - DA - mới nhé","18/10 - DA",5529,6506,21.85,3,3,,14,2022-08-04,2024-01-17
2023-12-06,"[ĐTPTDL] - BI Track - phân tích kinh doanh","BI Track_PTKD_06/07",1428,1847,9.55,3,3,,7,2022-08-04,2024-01-17
2023-12-06,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",1270,1574,9.71,3,4,,7,2022-08-04,2024-01-17
2023-12-06,"[ĐTPTDL] PBI","17/11 - PBI target mới",1626,1914,11.89,3,3,,4,2022-08-04,2024-01-17
2023-12-06,"ĐTPTDL] - DA - mới nhé","18/10 - DA",5580,6569,21.29,4,4,,18,2022-08-04,2024-01-17
2023-12-05,"[ĐTPTDL] - BI Track - phân tích kinh doanh","BI Track_PTKD_06/07",1612,2089,9.46,,,,4,2022-08-04,2024-01-17
2023-12-05,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",1945,2429,9.91,1,1,,8,2022-08-04,2024-01-17
2023-12-05,"[ĐTPTDL] PBI","17/11 - PBI target mới",1659,2036,12.04,2,3,,6,2022-08-04,2024-01-17
2023-12-05,"ĐTPTDL] - DA - mới nhé","18/10 - DA",6020,7388,21.27,2,2,1,18,2022-08-04,2024-01-17
2023-12-04,"[ĐTPTDL] - BI Track - phân tích kinh doanh","BI Track_PTKD_06/07",1636,2190,10.21,1,2,,4,2022-08-04,2024-01-17
2023-12-04,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",1762,2156,9.65,3,3,,8,2022-08-04,2024-01-17
2023-12-04,"[ĐTPTDL] PBI","17/11 - PBI target mới",1270,1594,9.95,1,4,1,6,2022-08-04,2024-01-17
2023-12-04,"ĐTPTDL] - DA - mới nhé","18/10 - DA",6028,7547,21.89,5,6,1,24,2022-08-04,2024-01-17
2023-12-03,"[ĐTPTDL] - BI Track - phân tích kinh doanh","BI Track_PTKD_06/07",1461,1981,10.25,1,1,,4,2022-08-04,2024-01-17
2023-12-03,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",1895,2259,10.01,1,1,1,9,2022-08-04,2024-01-17
2023-12-03,"[ĐTPTDL] PBI","17/11 - PBI target mới",978,1176,9.96,3,3,,4,2022-08-04,2024-01-17
2023-12-03,"ĐTPTDL] - DA - mới nhé","18/10 - DA",5014,6188,21.8,5,5,1,10,2022-08-04,2024-01-17
2023-12-02,"[ĐTPTDL] - BI Track - phân tích kinh doanh","BI Track_PTKD_06/07",1690,2179,12.11,1,1,,2,2022-08-04,2024-01-17
2023-12-02,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",2845,3471,12.08,2,3,,13,2022-08-04,2024-01-17
2023-12-02,"[ĐTPTDL] PBI","17/11 - PBI target mới",1680,2032,12.04,2,2,,6,2022-08-04,2024-01-17
2023-12-02,"ĐTPTDL] - DA - mới nhé","18/10 - DA",8028,9756,26.77,5,6,1,19,2022-08-04,2024-01-17
2023-12-01,"[ĐTPTDL] - BI Track - phân tích kinh doanh","BI Track_PTKD_06/07",1704,2243,11.8,1,1,,7,2022-08-04,2024-01-17
2023-12-01,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",2682,3285,12.07,3,3,1,9,2022-08-04,2024-01-17
2023-12-01,"[ĐTPTDL] PBI","17/11 - PBI target mới",1755,2099,12.09,2,2,2,3,2022-08-04,2024-01-17
2023-12-01,"ĐTPTDL] - DA - mới nhé","18/10 - DA",8459,9965,26.5,3,3,,15,2022-08-04,2024-01-17
2023-11-30,"[ĐTPTDL] - BI Track - phân tích kinh doanh","BI Track_PTKD_06/07",2019,2692,12.2,1,2,1,3,2022-08-04,2024-01-17
2023-11-30,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",2665,3222,11.97,1,1,,9,2022-08-04,2024-01-17
2023-11-30,"[ĐTPTDL] PBI","17/11 - PBI target mới",2225,2573,12.12,2,2,1,7,2022-08-04,2024-01-17
2023-11-30,"ĐTPTDL] - DA - mới nhé","18/10 - DA",7508,9503,26.32,4,4,,24,2022-08-04,2024-01-17
2023-11-28,"[ĐTPTDL] - BI Track - phân tích kinh doanh","BI Track_PTKD_06/07",1387,1755,7.59,1,1,,7,2022-08-04,2024-01-17
2023-11-28,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",1628,1942,7.98,1,1,2,12,2022-08-04,2024-01-17
2023-11-28,"[ĐTPTDL] PBI","17/11 - PBI target mới",1108,1321,7.81,2,2,1,4,2022-08-04,2024-01-17
2023-11-28,"ĐTPTDL] - DA - mới nhé","18/10 - DA",4904,5831,17.16,3,3,,8,2022-08-04,2024-01-17
2023-11-27,"[ĐTPTDL] - BI Track - phân tích kinh doanh","BI Track_PTKD_06/07",2635,2936,11.5,1,1,,11,2022-08-04,2024-01-17
2023-11-27,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",2155,2339,11.5,,,,2,2022-08-04,2024-01-17
2023-11-27,"[ĐTPTDL] PBI","17/11 - PBI target mới",2370,2589,11.48,,,1,5,2022-08-04,2024-01-17
2023-11-27,"ĐTPTDL] - DA - mới nhé","18/10 - DA",6624,7504,24.98,1,1,2,17,2022-08-04,2024-01-17
2023-11-25,"[ĐTPTDL] PBI","17/11 - PBI target mới",680,723,4.9,1,1,,3,2022-08-04,2024-01-17
2023-11-25,"[ĐTPTDL] PL300","Target PL300 cơ bản",418,466,2.14,1,2,,3,2022-08-04,2024-01-17
2023-11-25,"[ĐTPTDL] SQL","15/11 - SQL",,,,,1,,,2022-08-04,2024-01-17
2023-11-25,"ĐTPTDL] - DA - mới nhé","18/10 - DA",3659,4011,9.67,4,5,1,11,2022-08-04,2024-01-17
2023-11-24,"[ĐTPTDL] PBI","17/11 - PBI target mới",1298,1525,11.93,3,4,,9,2022-08-04,2024-01-17
2023-11-24,"[ĐTPTDL] PL300","Target PL300 cơ bản",1060,1184,5.94,2,2,,9,2022-08-04,2024-01-17
2023-11-24,"ĐTPTDL] - DA - mới nhé","18/10 - DA",5671,7082,20.96,1,2,2,16,2022-08-04,2024-01-17
2023-11-23,"[ĐTPTDL] PBI","17/11 - PBI target mới",1983,2229,11.77,4,5,,5,2022-08-04,2024-01-17
2023-11-23,"[ĐTPTDL] PL300","Target PL300 cơ bản",837,927,4.07,,,,2,2022-08-04,2024-01-17
2023-11-23,"[ĐTPTDL] Power BI - vể bờ","11/10 - Power BI",1891,2110,7.21,,,,9,2022-08-04,2024-01-17
2023-11-23,"ĐTPTDL] - DA - mới nhé","18/10 - DA",6477,7375,21.41,3,3,1,10,2022-08-04,2024-01-17
2023-11-22,"[ĐTPTDL] PBI","17/11 - PBI target mới",688,808,4.77,1,1,1,1,2022-08-04,2024-01-17
2023-11-22,"[ĐTPTDL] Power BI - vể bờ","11/10 - Power BI",1517,1789,7.14,,,,3,2022-08-04,2024-01-17
2023-11-22,"[ĐTPTDL] SQL","15/11 - SQL",684,821,5.36,,,,2,2022-08-04,2024-01-17
2023-11-22,"ĐTPTDL] - DA - mới nhé","18/10 - DA",2731,3165,9.28,4,4,3,10,2022-08-04,2024-01-17
2023-11-21,"[ĐTPTDL] PBI","17/11 - PBI target mới",1176,1573,10,1,1,,3,2022-08-04,2024-01-17
2023-11-21,"[ĐTPTDL] Power BI - vể bờ","11/10 - Power BI",3259,4037,11.45,3,3,,11,2022-08-04,2024-01-17
2023-11-21,"[ĐTPTDL] SQL","15/11 - SQL",1588,2014,12.12,,,,3,2022-08-04,2024-01-17
2023-11-21,"ĐTPTDL] - DA - mới nhé","18/10 - DA",4700,5852,18.77,3,3,1,6,2022-08-04,2024-01-17
2023-11-20,"[ĐTPTDL] PBI","17/11 - PBI target mới",1487,1886,9.81,1,1,1,3,2022-08-04,2024-01-17
2023-11-20,"[ĐTPTDL] Power BI - vể bờ","11/10 - Power BI",3382,3694,11.71,,,,7,2022-08-04,2024-01-17
2023-11-20,"[ĐTPTDL] SQL","15/11 - SQL",1239,1536,11.99,1,1,,2,2022-08-04,2024-01-17
2023-11-20,"ĐTPTDL] - DA - mới nhé","18/10 - DA",5715,7038,19.25,3,3,,12,2022-08-04,2024-01-17
2023-11-19,"[ĐTPTDL] SQL","15/11 - SQL",1590,2085,11.93,1,1,,1,2022-08-04,2024-01-17
2023-11-19,"ĐTPTDL] - DA - mới nhé","18/10 - DA",3363,4178,18.91,6,7,2,11,2022-08-04,2024-01-17
2023-11-18,"[ĐTPTDL] SQL","15/11 - SQL",3421,4212,14.51,,,,3,2022-08-04,2024-01-17
2023-11-18,"ĐTPTDL] - DA - mới nhé","18/10 - DA",7612,9118,23,6,6,1,27,2022-08-04,2024-01-17
2023-11-16,"[ĐTPTDL] SQL","15/11 - SQL",1817,2321,10.44,1,2,1,8,2022-08-04,2024-01-17
2023-11-16,"ĐTPTDL] - DA - mới nhé","18/10 - DA",4212,5069,16.26,3,3,,10,2022-08-04,2024-01-17
2023-11-15,"[ĐTPTDL] SQL","15/11 - SQL",1550,2081,9.94,2,2,,7,2022-08-04,2024-01-17
2023-11-15,"ĐTPTDL] - DA - mới nhé","18/10 - DA",2979,3741,14.08,2,3,1,3,2022-08-04,2024-01-17
2023-11-14,"ĐTPTDL] - DA - mới nhé","18/10 - DA",2293,2928,11.92,2,3,1,7,2022-08-04,2024-01-17
2023-11-13,"[ĐTPTDL] Power BI - vể bờ","11/10 - Power BI",,,,1,1,,,2022-08-04,2024-01-17
2023-11-13,"ĐTPTDL] - DA - mới nhé","18/10 - DA",3451,4153,12.27,3,3,,10,2022-08-04,2024-01-17
2023-11-12,"[ĐTPTDL] - SQL","23/03 SQL",665,760,5.08,,,,,2022-08-04,2024-01-17
2023-11-12,"[ĐTPTDL] Power BI - vể bờ","11/10 - Power BI",2611,2981,9.71,,,,8,2022-08-04,2024-01-17
2023-11-12,"ĐTPTDL] - DA - mới nhé","18/10 - DA",2669,3202,11.73,,1,,4,2022-08-04,2024-01-17
2023-11-11,"[ĐTPTDL] - SQL","23/03 SQL",1334,1549,6.08,,,,2,2022-08-04,2024-01-17
2023-11-11,"[ĐTPTDL] Power BI - vể bờ","11/10 - Power BI",6375,7178,12.2,,,,8,2022-08-04,2024-01-17
2023-11-11,"ĐTPTDL] - DA - mới nhé","18/10 - DA",5207,5961,14.62,2,3,2,9,2022-08-04,2024-01-17
2023-11-10,"[ĐTPTDL] - SQL","23/03 SQL",857,1112,6.08,1,1,,4,2022-08-04,2024-01-17
2023-11-10,"[ĐTPTDL] Power BI - vể bờ","11/10 - Power BI",2984,3586,11.96,,1,,12,2022-08-04,2024-01-17
2023-11-10,"ĐTPTDL] - DA - mới nhé","18/10 - DA",2624,3280,14.79,2,2,,9,2022-08-04,2024-01-17
2023-11-09,"[ĐTPTDL] - SQL","23/03 SQL",1048,1251,6.19,1,1,,1,2022-08-04,2024-01-17
2023-11-09,"[ĐTPTDL] Power BI - vể bờ","11/10 - Power BI",3123,3887,12.06,,,1,6,2022-08-04,2024-01-17
2023-11-09,"ĐTPTDL] - DA - mới nhé","18/10 - DA",2967,3833,14.59,4,4,,12,2022-08-04,2024-01-17
2023-11-06,"[ĐTPTDL] - SQL","23/03 SQL",335,353,1.11,,,,,2022-08-04,2024-01-17
2023-11-06,"[ĐTPTDL] Power BI - vể bờ","11/10 - Power BI",905,1075,4.65,,,,3,2022-08-04,2024-01-17
2023-11-06,"ĐTPTDL] - DA - mới nhé","18/10 - DA",1278,1434,4.17,,1,1,5,2022-08-04,2024-01-17
2023-11-05,"ĐTPTDL] - DA - mới nhé","18/10 - DA",3389,4271,12.53,1,1,2,7,2022-08-04,2024-01-17
2023-11-04,"[ĐTPTDL] Power BI - vể bờ","11/10 - Power BI",1494,1527,8.6,1,1,1,8,2022-08-04,2024-01-17
2023-11-04,"[ĐTPTDL] SQL - xin là cho","13/10 - SQL",1475,1739,8.88,1,1,1,4,2022-08-04,2024-01-17
2023-11-04,"ĐTPTDL] - DA - mới nhé","18/10 - DA",3826,4504,10.57,4,4,,15,2022-08-04,2024-01-17
2023-11-03,"[ĐTPTDL] Power BI - vể bờ","11/10 - Power BI",1603,1656,12.19,,,,5,2022-08-04,2024-01-17
2023-11-03,"[ĐTPTDL] SQL - xin là cho","13/10 - SQL",2057,2430,12.37,,,1,1,2022-08-04,2024-01-17
2023-11-03,"ĐTPTDL] - DA - mới nhé","18/10 - DA",5318,6330,11.99,5,5,,16,2022-08-04,2024-01-17
2023-11-02,"[ĐTPTDL] - Python - target mới","13/10 - Python - Advantage+",725,796,3.52,1,1,,1,2022-08-04,2024-01-17
